id товара из сайта,наименование,ссылка на товар,регулярная цена,промо цена,бренд
484031,"Конфеты Победа вкуса Трюфели шоколадные каппучино и айриш крем, 200г",https://online.metro-cc.ru/products/pobeda-vkusa-tryufeli-ajrish-krem-kappuchino-200-g,187,139,ПОБЕДА ВКУСА
196957,"Вафли Яшкино Голландские с карамельной начинкой, 290г",https://online.metro-cc.ru/products/yashkino-gollandskie-s-nachinkoj-iz-varenoj-sguschenki-290g,99.9,,ЯШКИНО
559847,"Конфеты Победа вкуса Соната шоколадные, 200г",https://online.metro-cc.ru/products/shokoladnye-pobeda-vkusa-sonata-200-g,169,139,ПОБЕДА ВКУСА
311607006,"Шоколад Ritter Sport вафля-какао-мусс, 100г",https://online.metro-cc.ru/products/100g-shokolad-ritter-sport-vaflyakakao-muss,149,109,RITTER SPORT
386596,"Шоколад Ritter Sport темный с мятой, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-myata-100g,149,109,RITTER SPORT
497054,"Печенье Наслада имбирное сдобное, 700г",https://online.metro-cc.ru/products/naslada-imbirnoe-sdobnoe-700-g,295,205,НАСЛАДА
557512178,"Конфеты Kdv Ярче арахис в карамели, 500г",https://online.metro-cc.ru/products/500g-konfety-kdv-yarche-arahis-v-karameli,169,136,Без бренда
617897,"METRO Chef Печенье Савоярди, 1.6кг",https://online.metro-cc.ru/products/1600g-metro-chef-savoyardi,1164.9,,METRO CHEF
527436,"Драже Skittles фрукты, 38г",https://online.metro-cc.ru/products/art_653533,47.99,36.9,SKITTLES
636289,"Печенье Яшкино Вишня сдобное, 137г",https://online.metro-cc.ru/products/yashkino-sdobnoe-vishnya-137-g,61.99,,ЯШКИНО
248381,"Шоколад Kinder Maxi молочный с молочной начинкой, 84г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-maxi-s-molochnoj-nachinkoj-84g,136,,KINDER MAXI
499798,"Шоколад Ritter Sport молочный с кокосм, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-s-kokosovoj-nachinkoj-100g,149,109,RITTER SPORT
484098,"Набор кондитерских изделий Новогодний подарок Терем-Теремок, 800г",https://online.metro-cc.ru/products/novogodnij-podarok-terem-teremok-800g,959,,НОВОГОДНИЙ ПОДАРОК
396128,"Зефир Полет в темной шоколадной глазури, 500г",https://online.metro-cc.ru/products/polet-v-temnoj-shokoladnoj-glazuri-500g,309,,ПОЛЕТ
11726079,"Набор подарочный Мок-Мок Шокомонстрики, 300г",https://online.metro-cc.ru/products/nabor-podarochnyy-mok-mok-shokomonstriki-300g,339,,МОК-МОК
601247003,"Штоллен Oebel Marzipanstollen рождественский, 500г",https://online.metro-cc.ru/products/500g-rozhdestvenskiy-shtollen-oebel-marzipanstollen,779,749,OEBEL
405420,"Батончик Twix Экстра шоколадный, 82г x 144 шт",https://online.metro-cc.ru/products/twix-ekstra-82g,9201.6,,TWIX
75745902,"Батончик шоколадный Snickers белый, 81г",https://online.metro-cc.ru/products/81g-shokoladnyy-batonchik-snickers-belyy,73.9,59.9,SNICKERS
155729,"Сухари Семейка Озби с изюмом классические с отделкой сахаром, 300г",https://online.metro-cc.ru/products/semejka-ozbi-s-izyumom-saharom-klassicheskie-300g,88.9,74.9,СЕМЕЙКА ОЗБИ
508713,"Вафли Kinder Bueno White в белом шоколаде, 39г",https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-white-v-belom-39g,82.9,,KINDER BUENO
120450,"Зефир Ударница Шармэль с ароматом ванили, 255г",https://online.metro-cc.ru/products/udarnica-s-aromatom-sharmel-255g,183,,ШАРМЭЛЬ
229974,"Шоколад Merci горький 72%, 100г",https://online.metro-cc.ru/products/merci-gorkij-72-100g,189,149,MERCI
574162382,"Конфеты Kdv Яшкинская картошка, 500г",https://online.metro-cc.ru/products/500g-konfety-kdv-yashkinskaya-kartoshka,174,149,Без бренда
